TradeDate,StockCode,IndexWeight,ClosePrice,Volume,Amount,PE_TTM,PB,TotalMarketCap,AnnounceDate,ReportPeriod,ROE,Revenue_YoY,NetProfit_YoY,momentum_5_raw,momentum_20_raw,momentum_60_raw,reversal_5_raw,volatility_20_raw,downside_vol_20_raw,drawdown_20_raw,turnover_proxy_20_raw,illiq_20_raw,roe_raw,size_log_mcap_raw,ep_ttm_raw,bp_inv_raw,revenue_yoy_raw,netprofit_yoy_raw
20231229,000001.SZ,0.524,672.7326,853852.79,803196.744,3.7578,0.4603,182221571879.22,20231025,20230930.0,8.8025,-7.6889,8.1181,0.02065222388083021,-0.02795024190251838,-0.16160718358280346,-0.02065222388083021,0.01301782183228205,0.007263126595601845,-0.02492205697124472,4.2960714373548914e-06,1.0860565220514361e-08,8.8025,25.928489211466566,0.26611315131193786,2.1724961981316535,-7.6889,8.1181
20231229,000002.SZ,0.41,1900.6216,614077.78,642736.575,6.5035,0.4934,124795221066.66,20231028,20230930.0,5.497,-14.0268,-20.3112,0.007707127562046168,-0.0824561586449356,-0.2003058040283412,-0.007707127562046168,0.018523240865768256,0.010473250338634454,-0.06440070367530404,5.28797571547224e-06,2.113482667590411e-08,5.497,25.549939999413457,0.15376335819174292,2.026753141467369,-14.0268,-20.3112
20231229,000063.SZ,0.486,433.6688,802469.66,2116275.731,13.9165,1.9112,126660501096.96,20231024,20230930.0,12.5546,-3.4201,14.9733,0.05204619147405243,0.013006992516944038,-0.18971838025438736,-0.05204619147405243,0.02413415235410229,0.011624219612587366,-0.007496151682526153,1.7004178941562345e-05,7.976220502918206e-09,12.5546,25.564776124263723,0.07185714798979628,0.5232314776056928,-3.4201,14.9733
20231229,000069.SZ,0.088,140.7421,423909.21,132534.636,-1.774,0.4115,25507579075.65,20231028,20230930.0,-4.997,8.4656,-2728.1199,0.01967226654533749,-0.10115582202716544,-0.26477557549232766,-0.01967226654533749,0.020508788655839893,0.01172517641134112,-0.07440492240348617,5.053776804530886e-06,1.261644297419558e-07,-4.997,23.962241463603018,-0.5636978579481398,2.4301336573511545,8.4656,-2728.1199
20231229,000100.SZ,0.465,15.723,4214730.28,1789362.636,50.7203,1.543,80750047298.1,20231028,20230930.0,3.1287,5.2122,474.1425,0.09974120444848578,0.02870938616348906,0.05391926856407436,-0.09974120444848578,0.017405837004014355,0.007481840037734043,0.0,1.1455937941137773e-05,1.3311788851526003e-08,3.1287,25.11462438478399,0.019715971711523787,0.6480881399870383,5.2122,474.1425
20231229,000157.SZ,0.187,543.8585,231131.66,151355.319,18.9366,1.047,56667289301.08,20231031,20230930.0,5.2452,15.874,31.6523,0.010836045086095814,0.020312503224482414,-0.046715219715692924,-0.010836045086095814,0.009738328113001704,0.00591158315013643,-0.00608819716884379,2.712296671515644e-06,5.412998545711489e-08,5.2452,24.760462972934317,0.05280779020521108,0.9551098376313276,15.874,31.6523
20231229,000166.SZ,0.23,6.786,509531.37,226706.15,38.9081,1.1158,111177353846.4,20231031,20230930.0,4.4662,-9.8241,1.6,0.011386669846190411,-0.030571428571428583,0.0254008069024918,-0.011386669846190411,0.011028313299798285,0.00677849018192739,-0.034790771769123596,2.072024680358746e-06,3.8263520700044954e-08,4.4662,25.434392545562485,0.025701589129255863,0.8962179602079227,-9.8241,1.6
20231229,000301.SZ,0.146,22.5669,290879.69,276845.036,43.7841,1.728,63467645539.2,20231028,20230930.0,6.7598,121.8946,57.1477,0.09714227373497719,-0.03807725424335684,-0.16883112099827624,-0.09714227373497719,0.018102804344532004,0.008815207418998227,-0.02538156565002192,3.459377171052791e-06,6.436145245472812e-08,6.7598,24.87379609392839,0.02283934122204179,0.5787037037037037,121.8946,57.1477
20231229,000333.SZ,1.546,279.8322,259372.53,1410074.987,11.6994,2.4594,383753756399.04,20231031,20230930.0,18.5301,7.6725,13.2716,0.0352472598515674,0.08071235388600373,-0.015320594497760465,-0.0352472598515674,0.010748756458065648,0.0048620321708263865,0.0,2.959957423862474e-06,8.215764543117784e-09,18.5301,26.673266924461903,0.08547446877617655,0.406603236561763,7.6725,13.2716
20231229,000338.SZ,0.426,291.6799,391515.98,535339.558,14.717,1.5795,119117500606.65,20231031,20230930.0,8.6358,22.8768,96.2882,0.013362929136834456,-0.017985536424911297,0.10666488090676118,-0.013362929136834456,0.00910452711647383,0.0052404208298782,-0.03191482653087996,3.984061789566559e-06,1.5716313234634046e-08,8.6358,25.503376242955042,0.06794863083508867,0.6331117442228553,22.8768,96.2882
